summonerId,summonerName,leaguePoints,rank,wins,losses,veteran,inactive,freshBlood,hotStreak,queue,date
cy4eZ789zKo5gVXc77k3CuPv73WfFS4EUPcqUxXAKz5PXQ,TiTiltei KK XD,513,I,139,122,False,False,False,False,challenger,14/03/2021
9aLoLuaek1I4c_Uhtg-CcJFL2I3ztWHMK_HW38mbrUrvPQ,vatten,446,I,130,105,False,False,False,False,challenger,14/03/2021
U2LkIj9h5FGqmCAbXdicLXSfyYBLpPO9yA219agaMEIeyA,LookStemp,561,I,229,215,True,False,False,False,challenger,14/03/2021
HDnmvZ87SLr1Xus08qglfeEAyxQDNFsUB_DN_HTeW6WTEYc,Losueiodiseit,381,I,39,24,False,False,True,False,challenger,14/03/2021
mohJi1fZ0a72Tm7lss0oeCGIjnC58QzeBu7jcowGSg8b0KQ,no ban kat plss,450,I,253,239,True,False,False,False,challenger,14/03/2021
sP-a-E--0pczl5Wr7t_wHE5-VfbZs_TKDhfOSF2f79tNQw,Caitano FA,619,I,154,129,False,False,True,False,challenger,14/03/2021
mEfsNP6oWqdnaJTARmMYkT0SeF-hwOspyP6tVKTtPZuG,treevor,512,I,192,174,True,False,False,False,challenger,14/03/2021
6KgtOr80dm00Et-fv4mDe_veRXr3QbW53GBnOm_bpY2W8g,Momochi,331,I,214,193,False,False,True,False,challenger,14/03/2021
jFSz1USZ1mo4UcnEKTfTifhpaZVyNTYiv4X5fITMzhOF,Gigi Safaloiro,389,I,142,129,False,False,True,False,challenger,14/03/2021
cqNV_dg4Ciu4TAsnN2stMx06bzgnbF9-mojItIP2YcAGD1s,LOUD Mewkyo,508,I,80,71,False,False,False,False,challenger,14/03/2021
S_2D5YkAemucO4Lis2Huov4sDYXesaV_rCMeVlyw4XyNC9c,Sõgeking ,354,I,139,115,False,False,True,False,challenger,14/03/2021
YqZXc-QJKHLovaLWyoywd5hghAq4IxTt8Jt-rR1cgSZeNoY,yamato310121,354,I,93,81,False,False,False,False,challenger,14/03/2021
RPHQFECNOWbPp5GkOfZF0a3vXCkRuxIViHCD2rWu-G8KZw4,Badkiller76,292,I,246,232,False,False,True,False,challenger,14/03/2021
xhFjdXQGF7tiWvRuoSYoFutEg-0ChyFhOSX_Z0Fc7Aat-3Q,Tibbers Triste,512,I,121,97,False,False,False,False,challenger,14/03/2021
aG1DNwHZbMHI4RSdcKn-jR7nVN0JAWD7NoPj5p7e3D6EIuQ,Anyyyyyy,518,I,38,21,False,False,False,True,challenger,14/03/2021
AF3KLtWDo_1pLuGqxep_hQLoCE1dDo2y-2uVicqnKytH,Dikih,506,I,127,116,False,False,True,False,challenger,14/03/2021
acLAMjNY1FS89B36HB-KgLmVF46Cmtn2iFBUyeuDJ6cF,a Seithr,484,I,156,150,False,False,False,False,challenger,14/03/2021
xnDDYvq1ObpR6OULJ6uWoOFuiU9nUK395WM9H3TFo2tSpoM79Cdp58phQg,Rensga Esports,327,I,103,96,False,False,True,False,challenger,14/03/2021
K4LyYTOouzmu2tYgw8OxJXH8Zso6CQyoSJoHwwNvqbX4ow,Alvinho pokemon,527,I,151,126,True,False,False,False,challenger,14/03/2021
IEjR0Mofz1gJc_SvDj7Sh6bsnEpP-aQD6VCLG0OcrFjWO3Q,W1NTER,510,I,169,136,False,False,True,True,challenger,14/03/2021
1NKcEy8sVEX1yZI8huIZJtt9fZyn4fGqYNukRpnlZWPTWr0,CatchThirtythree,320,I,169,159,False,False,False,False,challenger,14/03/2021
tjUMCNZ9NN0fcaWP-4MDEFgBwWOB30o5Nf2FxqUZA0l7ygk-zpoO9AHK_Q,Iost within,366,I,35,35,False,False,False,False,challenger,14/03/2021
FAMheuQJ7kdFUjZabmH4eDJ_pgSj19LmLS-gR3Y3CmAU8O4,xypherz,611,I,78,57,False,False,True,False,challenger,14/03/2021
wPi__eJYj9YgLUbesnEjw7BdRDRdaASR13sdZcT66AS4XFg,kimi no chikara,478,I,38,27,False,False,True,False,challenger,14/03/2021
8_fY8Dtm8pziiMQ3XPNasn0ZnjJIzN0ON1F_95snoadLxuk,rrrrrrrrraaaank1,527,I,133,129,False,False,False,False,challenger,14/03/2021
